gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000276076	1018.4336293351346	0.17852318108360518	0.2514716169693112	0.7099138393236306	0.4777575678219195	0.9570784049475978
ENSG00000141956	21320.462717784005	0.102116244746451	0.14568993117156132	0.7009149082938416	0.483356120022002	0.9570784049475978
ENSG00000142166	2805.807899085287	-0.12718873911668077	0.18300950388271453	-0.6949843391641143	0.4870651160966996	0.9570784049475978
ENSG00000159259	1949.7177898952984	-0.16621598940851812	0.24133903140748025	-0.6887240262760344	0.4909969535301318	0.9570784049475978
ENSG00000170262	1249.9599176140573	0.1742940072984613	0.2548326377865268	0.6839548058379685	0.4940037045801184	0.9570784049475978
ENSG00000186971	246.64822408192705	0.26254714406821855	0.38636369120873304	0.6795336881859777	0.4967997697402069	0.9570784049475978
ENSG00000188155	514.1304766082669	-0.26464261195239075	0.38967042441703886	-0.6791447217178612	0.49704616842795735	0.9570784049475978
ENSG00000155313	7624.202995794566	-0.10804672291749248	0.16130449103681066	-0.6698308411812016	0.5029656306968218	0.9570784049475978
ENSG00000186866	7827.15785258885	-0.12737557680595557	0.19524773209725568	-0.6523792898270797	0.5141565211775815	0.9570784049475978
ENSG00000160216	12613.869964006764	0.09984757921952014	0.15322861303285853	0.6516248972253551	0.5146431823776226	0.9570784049475978
ENSG00000212935	353.5129028680238	0.26480353527578665	0.40956964486238767	0.6465409206894682	0.5179291049314538	0.9570784049475978
ENSG00000184787	5732.939050411878	-0.10805309713719922	0.16760927394441363	-0.6446725446292084	0.5191394120840334	0.9570784049475978
ENSG00000205927	1801.7860206768805	-0.15833466412908237	0.24578356861987652	-0.6442036179153997	0.5194434051577748	0.9570784049475978
ENSG00000212933	116.26128259666866	-0.3616641368226091	0.5639051138791867	-0.6413563699301608	0.5212911729234426	0.9570784049475978
ENSG00000186977	156.27769933371184	0.32387273980619125	0.5077831576546472	0.6378170187882898	0.5235927997440231	0.9570784049475978
ENSG00000159212	2244.1045913012367	-0.1439127969709193	0.22664539567830208	-0.6349689855389231	0.5254486428321943	0.9570784049475978
ENSG00000156284	722.4908054497917	-0.18478488162261825	0.2929660519908252	-0.630738204535743	0.5282117144729138	0.9570784049475978
ENSG00000206107	218.71107526327734	-0.28665997370669954	0.4580396098270957	-0.6258410136514397	0.5314192274966599	0.9570784049475978
ENSG00000206102	96.3514005679115	-0.34815018638967604	0.5571901674540076	-0.6248318917408275	0.5320813970316096	0.9570784049475978
ENSG00000205439	165.4186394103719	0.3145796916262881	0.5161843318411348	0.6094328560966585	0.5422375653134149	0.9570784049475978
ENSG00000198862	10175.233349029002	0.10168566325217523	0.1670772158396517	0.6086147817411895	0.5427798043089309	0.9570784049475978
ENSG00000142185	10186.558070076786	0.10876957735797495	0.18151325967428403	0.599237640011293	0.5490144258782643	0.9570784049475978
ENSG00000187026	143.21242900321488	-0.333846612176732	0.5654609557338108	-0.5903972834755533	0.5549243313973844	0.9570784049475978
ENSG00000276612	475.26602106525326	-0.22091953022138142	0.37436935934280857	-0.5901111421329924	0.5551161393300734	0.9570784049475978
