gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000159147	6309.849350158453	-0.15281844572082467	0.16539264090668432	-0.9239736718820876	0.35550002367072236	0.9572096190390598
ENSG00000222018	245.7443753432991	-0.3790633603393431	0.4105983301214949	-0.9231975206211368	0.3559042807021061	0.9572096190390598
ENSG00000156282	393.04984689262284	0.34047672548181	0.38592277375562256	0.882240563749186	0.3776467303877697	0.9572096190390598
ENSG00000160213	3872.013483815539	0.18385941712857432	0.20948270166627267	0.8776830529018149	0.38011574386191416	0.9572096190390598
ENSG00000160307	954.3629158887627	0.22495271959749982	0.25679163134938054	0.8760126582608062	0.3810231523568599	0.9572096190390598
ENSG00000160233	1936.6164769932943	-0.2753571431819513	0.3143491550003234	-0.8759595462620793	0.3810520261880309	0.9572096190390598
ENSG00000188694	709.7284730502951	-0.3598625356575874	0.412184449343733	-0.8730618931173875	0.38262934304951424	0.9572096190390598
ENSG00000154639	3235.205624325773	-0.15669163155571922	0.17996646802816138	-0.8706712604439173	0.3839336749737398	0.9572096190390598
ENSG00000157578	7966.021805553321	0.1264079626701979	0.1454459008390857	0.8691063958553878	0.3847889387316869	0.9572096190390598
ENSG00000160310	9500.9541933601	-0.1461127338243789	0.17203856976830215	-0.8493021885799236	0.39571316335078877	0.9572096190390598
ENSG00000189169	484.2922486871667	-0.2990302450047689	0.35466344268214123	-0.8431380543293483	0.3991512380969302	0.9572096190390598
ENSG00000183421	2100.531798455653	-0.23855652260427984	0.28503947949856046	-0.8369244955960027	0.4026350103906654	0.9572096190390598
ENSG00000160294	10336.081673735322	0.13780652588898099	0.16467966921202132	0.836815658838604	0.4026961941635393	0.9572096190390598
ENSG00000154646	1982.7553227030373	0.1713298886474181	0.20886896011337733	0.8202745326754993	0.4120596211998418	0.9572096190390598
ENSG00000185808	5695.796518845149	0.1339273915334075	0.16566971851531245	0.8083999461919101	0.4188603829321096	0.9572096190390598
ENSG00000142188	3698.36245469471	0.14197764645139796	0.1780555209831353	0.7973785124295333	0.4252312348019941	0.9572096190390598
ENSG00000184900	2709.1261776942765	-0.17372063762403728	0.22001696029862433	-0.7895783915396793	0.42977403185707375	0.9572096190390598
ENSG00000175894	4292.586264773688	0.16535124805646806	0.2096609732474562	0.7886601187399298	0.4303106831642011	0.9572096190390598
ENSG00000173638	6804.370091224033	0.12143755120863794	0.15581340492419823	0.7793780725587518	0.43575703670203164	0.9572096190390598
